8.597	  -1.17   6.23 -42.67  -0.60  -0.32  -0.04   0.11
8.888	  -1.34   6.12 -39.48  -0.60  -0.33  -0.04   0.11
9.146	  -1.20   6.01 -40.66  -0.59  -0.32  -0.04   0.10
9.402	  -1.33   6.39 -43.79  -0.64  -0.35  -0.04   0.12
9.623	  -1.44   6.50 -44.66  -0.65  -0.37  -0.04   0.14
9.792	  -1.57   6.29 -42.07  -0.63  -0.37  -0.04   0.14
10.042	  -1.52   5.83 -39.92  -0.59  -0.36  -0.04   0.13
10.235	  -1.52   5.83 -39.92  -0.59  -0.36  -0.04   0.13
10.494	  -1.34   5.70 -43.06  -0.57  -0.35  -0.03   0.12
10.738	  -1.28   5.69 -45.81  -0.57  -0.36  -0.03   0.13
10.916	  -1.35   5.66 -46.78  -0.57  -0.37  -0.03   0.14
11.078	  -1.35   5.66 -46.78  -0.57  -0.37  -0.03   0.14
11.267	  -1.45   5.22 -41.81  -0.53  -0.36  -0.03   0.13
11.558	  -1.30   4.93 -42.69  -0.50  -0.35  -0.03   0.12
11.815	  -1.15   4.64 -44.03  -0.47  -0.34  -0.03   0.11
12.071	  -1.05   4.49 -48.02  -0.45  -0.35  -0.02   0.12
12.328	  -0.96   4.20 -50.51  -0.42  -0.35  -0.02   0.12
12.583	  -0.96   3.77 -50.86  -0.38  -0.35  -0.02   0.12
12.762	  -0.98   3.24 -48.73  -0.32  -0.34  -0.01   0.12
12.924	  -0.98   3.24 -48.73  -0.32  -0.34  -0.01   0.12
13.116	  -1.99   2.83 -20.11  -0.29  -0.32  -0.01   0.10
13.374	  -1.99   2.71 -16.98  -0.27  -0.31  -0.02   0.09
13.629	  -1.99   2.59 -15.14  -0.26  -0.30  -0.02   0.09
13.865	  -1.79   2.55 -12.04  -0.26  -0.28  -0.01   0.08
14.030	  -1.79   2.55 -12.04  -0.26  -0.28  -0.01   0.08
14.192	  -1.65   2.62  -9.37  -0.27  -0.25  -0.02   0.06
14.579	  -1.21   2.85   3.50  -0.29  -0.15  -0.02   0.02
14.838	   0.36   2.48  10.50  -0.26   0.07  -0.04   0.01
15.094	   1.36   2.43  13.32  -0.26   0.22  -0.02   0.05
15.350	   1.61   3.33  17.20  -0.34   0.24  -0.00   0.06
15.611	   0.31   3.72   3.11  -0.38   0.05  -0.02   0.00
15.838	  -0.11   2.35   1.92  -0.24   0.01  -0.02   0.00
16.014	  -0.11   2.35   1.92  -0.24   0.01  -0.02   0.00
16.216	  -0.03   1.81   1.47  -0.19   0.01  -0.02   0.00
16.379	  -0.02   1.62   1.29  -0.17   0.01  -0.01   0.00
16.636	  -0.08   1.39   1.25  -0.14   0.01  -0.02   0.00
