15.877	   0.12  -0.62   2.89   0.07   0.02   0.00   0.00
16.134	   0.02  -0.56   2.54   0.06   0.01   0.00   0.00
16.362	  -0.03  -0.64   2.28   0.07   0.00   0.00   0.00
16.535	  -0.03  -0.64   2.28   0.07   0.00   0.00   0.00
16.706	  -0.05  -0.56   1.37   0.06  -0.00   0.00   0.00
16.979	  -0.13  -0.51   0.87   0.05  -0.01   0.00   0.00
17.205	  -0.26  -0.34   0.49   0.03  -0.03   0.00   0.00
17.436	  -0.05  -0.11   0.12   0.01  -0.01   0.00   0.00
17.696	   0.01  -0.05   0.09   0.00  -0.00  -0.00   0.00
17.919	   0.01  -0.05   0.09   0.00  -0.00  -0.00   0.00
18.180	   0.04  -0.01   0.09  -0.00   0.00  -0.00   0.00
18.433	   0.01  -0.03   0.06  -0.00  -0.00  -0.00   0.00
18.628	   0.01  -0.02   0.09  -0.00   0.00  -0.00   0.00
18.790	   0.01  -0.02   0.08  -0.00  -0.00  -0.00   0.00
18.982	   0.01  -0.02   0.08  -0.00  -0.00  -0.00   0.00
19.279	   0.02  -0.02   0.07  -0.00   0.00  -0.00   0.00
19.507	   0.01   0.00   0.08  -0.00   0.00  -0.00   0.00
19.734	   0.01  -0.02   0.07  -0.00  -0.00  -0.00   0.00
19.968	   0.01  -0.01   0.09  -0.00   0.00  -0.00   0.00
20.224	   0.02  -0.01   0.08  -0.00  -0.00   0.00   0.00
20.447	   0.01  -0.01   0.07  -0.00  -0.00   0.00   0.00
20.706	   0.02  -0.00   0.09  -0.00   0.00  -0.00   0.00
20.946	   0.01  -0.01   0.19  -0.00  -0.00   0.00   0.00
21.118	   0.01  -0.01   0.19  -0.00  -0.00   0.00   0.00
21.280	   0.02   0.00   0.07  -0.00  -0.00   0.00   0.00
21.466	   0.02   0.00   0.07  -0.00  -0.00   0.00   0.00
21.703	   0.01   0.00   0.03  -0.00  -0.00   0.00   0.00
21.895	   0.01   0.00   0.11  -0.00  -0.00  -0.00   0.00
22.075	   0.07   0.04   0.10  -0.00   0.00   0.00   0.00
22.236	   0.07   0.04   0.10  -0.00   0.00   0.00   0.00
22.408	   0.03   0.03  -0.02  -0.00   0.00   0.00   0.00
22.665	   0.00   0.01   0.08   0.00  -0.00   0.00   0.00
22.863	   0.00   0.02   0.08   0.00  -0.00   0.00   0.00
23.105	   0.00   0.02   0.08   0.00  -0.00   0.00   0.00
23.361	   0.00   0.01   0.08   0.00  -0.00   0.00   0.00
23.619	   0.00   0.01   0.08   0.00  -0.00   0.00   0.00
23.874	   0.00   0.01   0.08   0.00  -0.00  -0.00   0.00
