11.912	  -0.26   0.09  -2.85  -0.02  -0.02  -0.00   0.00
12.084	  -0.28   0.11  -2.90  -0.02  -0.02  -0.00   0.00
12.372	  -0.28   0.12  -2.92  -0.02  -0.03  -0.00   0.00
12.617	  -0.30   0.13  -2.99  -0.02  -0.03  -0.00   0.00
12.856	  -0.30   0.13  -2.99  -0.02  -0.03  -0.00   0.00
13.051	  -0.30   0.15  -3.08  -0.02  -0.03  -0.00   0.00
13.309	  -0.31   0.16  -3.12  -0.02  -0.03  -0.00   0.00
13.504	  -0.32   0.17  -3.05  -0.02  -0.03  -0.00   0.00
13.735	  -0.32   0.17  -3.09  -0.02  -0.03  -0.00   0.00
13.983	  -0.32   0.18  -3.03  -0.02  -0.03  -0.00   0.00
14.195	  -0.32   0.18  -3.03  -0.02  -0.03  -0.00   0.00
14.368	  -0.31   0.18  -2.96  -0.02  -0.03  -0.00   0.00
14.590	  -0.31   0.17  -2.91  -0.02  -0.03  -0.00   0.00
14.848	  -0.31   0.18  -2.85  -0.02  -0.03  -0.00   0.00
15.107	  -0.30   0.17  -2.71  -0.02  -0.03  -0.00   0.00
15.365	  -0.29   0.17  -2.62  -0.02  -0.03  -0.00   0.00
15.566	  -0.29   0.17  -2.62  -0.02  -0.03  -0.00   0.00
15.734	  -0.24   0.16  -2.20  -0.02  -0.02  -0.00   0.00
15.906	  -0.19   0.14  -1.83  -0.02  -0.02  -0.00   0.00
16.166	  -0.16   0.13  -1.54  -0.02  -0.02  -0.00   0.00
16.392	  -0.16   0.13  -1.54  -0.02  -0.02  -0.00   0.00
16.649	  -0.13   0.11  -1.31  -0.01  -0.01  -0.00   0.00
16.910	  -0.09   0.09  -1.06  -0.01  -0.01  -0.00   0.00
17.155	  -0.07   0.08  -0.92  -0.01  -0.01  -0.00   0.00
17.381	  -0.06   0.06  -0.78  -0.01  -0.01  -0.00   0.00
17.600	  -0.05   0.05  -0.68  -0.01  -0.01  -0.00   0.00
17.772	  -0.05   0.04  -0.56  -0.00  -0.01  -0.00   0.00
17.968	  -0.05   0.04  -0.56  -0.00  -0.01  -0.00   0.00
18.233	  -0.03   0.03  -0.43  -0.00  -0.00  -0.00   0.00
18.465	  -0.04   0.01  -0.40  -0.00  -0.01   0.00   0.00
18.749	  -0.03   0.02  -0.38  -0.00  -0.01  -0.00   0.00
19.024	  -0.02   0.01  -0.32  -0.00  -0.00   0.00   0.00
19.261	  -0.02   0.01  -0.29   0.00  -0.00  -0.00   0.00
19.583	  -0.02   0.00  -0.27   0.00  -0.00  -0.00   0.00
19.825	  -0.02  -0.00  -0.23   0.00  -0.00  -0.00   0.00
20.030	  -0.02  -0.01  -0.20   0.00  -0.00   0.00   0.00
20.215	  -0.02  -0.01  -0.20   0.00  -0.00   0.00   0.00
20.437	  -0.02  -0.01  -0.16   0.00  -0.00   0.00   0.00
20.695	  -0.03  -0.01  -0.13   0.00  -0.00   0.00   0.00
20.960	  -0.02  -0.01  -0.12   0.00  -0.00   0.00   0.00
21.137	  -0.02  -0.01  -0.10   0.00  -0.00   0.00   0.00
21.333	  -0.02  -0.01  -0.11   0.00  -0.00   0.00   0.00
21.575	  -0.02  -0.01  -0.11   0.00  -0.00   0.00   0.00
21.799	  -0.02  -0.01  -0.09   0.00  -0.00   0.00   0.00
22.026	  -0.02  -0.01  -0.09   0.00  -0.00   0.00   0.00
22.384	  -0.02  -0.01  -0.07   0.00  -0.00   0.00   0.00
22.640	  -0.02  -0.01  -0.06   0.00  -0.00   0.00   0.00
22.868	  -0.02   0.01  -0.03   0.00  -0.00   0.00   0.00
23.101	   0.00   0.01  -0.02   0.00  -0.00   0.00   0.00
23.271	   0.01   0.02   0.00   0.00  -0.00   0.00   0.00
23.443	   0.01   0.02   0.00   0.00  -0.00   0.00   0.00
23.774	   0.01   0.02  -0.00   0.00  -0.00   0.00   0.00
24.001	   0.02   0.02   0.01   0.00  -0.00   0.00   0.00
24.335	   0.02   0.02   0.01   0.00  -0.00   0.00   0.00
24.592	   0.02   0.02   0.01   0.00  -0.00   0.00   0.00
24.849	   0.01   0.03   0.01   0.00  -0.00   0.00   0.00
25.083	   0.01   0.03  -0.00   0.00  -0.00   0.00   0.00
25.321	   0.01   0.02   0.02   0.00  -0.00   0.00   0.00
25.565	   0.01   0.02  -0.00   0.00  -0.00   0.00   0.00
25.737	   0.01   0.02   0.02   0.00  -0.00   0.00   0.00
