loaded 340 states from 0002.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
   99.280,  -0.0, 287.0, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   0.7,   0.4,  -0.1,   0.0, 200.0,  49.0,  -19,   90,  -19
   99.313,  -0.0, 287.1, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.3,   0.5,  -0.1,   0.0, 200.0,  49.0,   55,   90,   55
   99.346,  -0.0, 287.2, 165.0,  -77,   -0,    0,  -0.1,   0.0,   0.8,   1.5,   4.7,  -0.1,   0.0, 200.0,  49.0,  -45,   90,  -45
   99.380,  -0.0, 287.4, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.4,   0.8,  -0.1,   0.0, 200.0,  49.0,  -45,   90,  -45
   99.413,  -0.0, 287.5, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.9,   1.6,   0.1,  -0.1,   0.0, 200.0,  49.0,   18,   90,   18
   99.446,  -0.0, 287.7, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   0.8,  -0.1,   0.0, 200.0,  49.0,  -32,   90,  -32
   99.480,  -0.0, 287.8, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.9,   1.5,   2.5,  -0.1,   0.0, 200.0,  49.0,  -32,   90,  -32
   99.513,  -0.0, 288.0, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.4,   0.9,  -0.1,   0.0, 200.0,  49.0,  -52,   90,  -52
   99.546,  -0.0, 288.1, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.4,   0.7,  -0.1,   0.0, 200.0,  49.0,  -66,   90,  -66
   99.580,  -0.0, 288.3, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   2.1,   0.1,  -0.1,   0.0, 200.0,  49.0,  -66,   90,  -66
   99.613,  -0.0, 288.4, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.9,   1.8,   1.1,  -0.1,   0.0, 200.0,  49.0,  -66,   90,  -66
   99.647,  -0.0, 288.6, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.4,   2.0,  -0.1,   0.0, 200.0,  49.0,   35,   90,   35
   99.680,  -0.0, 288.7, 165.0,  -77,   -0,    0,   0.0,   0.0,   0.8,   1.3,  -1.9,  -0.1,   0.0, 200.0,  49.0,   35,   90,   35
   99.713,  -0.0, 288.9, 165.0,  -77,   -0,    0,  -0.0,   0.0,   0.8,   1.3,  -0.1,  -0.1,   0.0, 200.0,  49.0,  -43,   90,  -43
